source,source_id,category_title,category_alias
yelp,6AlfW9j93S-a3Oucudrv9w,Beer Bar,beerbar
yelp,6AlfW9j93S-a3Oucudrv9w,Desserts,desserts
yelp,STtLaPOzWQcjvQ5nSE37aA,Food Trucks,foodtrucks
yelp,STtLaPOzWQcjvQ5nSE37aA,Desserts,desserts
yelp,STtLaPOzWQcjvQ5nSE37aA,Fast Food,hotdogs
yelp,dXJnq-gyKI1avei_Mg3OIg,Tex-Mex,tex-mex
yelp,dXJnq-gyKI1avei_Mg3OIg,Mexican,mexican
yelp,dXJnq-gyKI1avei_Mg3OIg,Pizza,pizza
yelp,QEXYxYcv3sly1BUgyWflPA,Coffee & Tea,coffee
yelp,QEXYxYcv3sly1BUgyWflPA,Breakfast & Brunch,breakfast_brunch
yelp,QEXYxYcv3sly1BUgyWflPA,Bagels,bagels
yelp,D-NyPKKw4RLaxlSM1rj-MQ,Thai,thai
yelp,D-NyPKKw4RLaxlSM1rj-MQ,Noodles,noodles
yelp,D-NyPKKw4RLaxlSM1rj-MQ,Ramen,ramen
yelp,xN1f9qxnPZjn8lgpW-qUmQ,Creperies,creperies
yelp,xN1f9qxnPZjn8lgpW-qUmQ,Gelato,gelato
yelp,xN1f9qxnPZjn8lgpW-qUmQ,Coffee & Tea,coffee
yelp,fMgJXt7EIAF0_XT1Fl6tgQ,Indian,indpak
yelp,fMgJXt7EIAF0_XT1Fl6tgQ,Chicken Wings,chicken_wings
yelp,fMgJXt7EIAF0_XT1Fl6tgQ,Pizza,pizza
yelp,PmIaEMIHUeL3vYMqYmMaHg,Japanese,japanese
yelp,PmIaEMIHUeL3vYMqYmMaHg,Sushi Bars,sushi
yelp,gIDRjQIutDCoVUET5Dzt0A,Barbeque,bbq
yelp,gIDRjQIutDCoVUET5Dzt0A,Salad,salad
yelp,gIDRjQIutDCoVUET5Dzt0A,Smokehouse,smokehouse
yelp,hXMnuwm60BJLTajbQOgPxA,Bakeries,bakeries
yelp,hXMnuwm60BJLTajbQOgPxA,Cafes,cafes
yelp,Gov4SW27iYWV9LS46kmiUA,Szechuan,szechuan
yelp,4XOHGutxMjpBu6ZLGNzs0A,Middle Eastern,mideastern
yelp,4XOHGutxMjpBu6ZLGNzs0A,Mediterranean,mediterranean
yelp,heMHfbHTwcVjKPsnYFFNAg,Indian,indpak
yelp,heMHfbHTwcVjKPsnYFFNAg,Chinese,chinese
yelp,heMHfbHTwcVjKPsnYFFNAg,Halal,halal
yelp,CSHiunmos7rw5-jb1hbZVg,Specialty Food,gourmet
yelp,CSHiunmos7rw5-jb1hbZVg,Vegetarian,vegetarian
yelp,CSHiunmos7rw5-jb1hbZVg,International Grocery,intlgrocery
yelp,z_uwU0ZDX1ZtbjQW-7O-nA,Vietnamese,vietnamese
yelp,k2-2ZyfbwLlV2-n5NbCzvA,Asian Fusion,asianfusion
yelp,k2-2ZyfbwLlV2-n5NbCzvA,Bubble Tea,bubbletea
yelp,k2-2ZyfbwLlV2-n5NbCzvA,Chinese,chinese
yelp,bPVizrhzuZFhDAc-IFygpQ,Puerto Rican,puertorican
yelp,bPVizrhzuZFhDAc-IFygpQ,Latin American,latin
yelp,bPVizrhzuZFhDAc-IFygpQ,Mexican,mexican
yelp,KFuqBxk4-hh8CLr-z18xJg,Italian,italian
yelp,KFuqBxk4-hh8CLr-z18xJg,Salad,salad
yelp,KFuqBxk4-hh8CLr-z18xJg,Pizza,pizza
yelp,h3fkLmaNNjeqFXIt80DeKA,Pizza,pizza
yelp,h3fkLmaNNjeqFXIt80DeKA,Italian,italian
yelp,h3fkLmaNNjeqFXIt80DeKA,Salad,salad
yelp,GQjPWYvEMk86W3GYQ2kyrA,Caribbean,caribbean
yelp,T-vYQeuy8toLTDS8g8IHsg,Sushi Bars,sushi
yelp,T-vYQeuy8toLTDS8g8IHsg,Bars,bars
yelp,4NiNvw5cqvcKDlqnvGzoIQ,Chinese,chinese
yelp,4NiNvw5cqvcKDlqnvGzoIQ,Pan Asian,panasian
yelp,4NiNvw5cqvcKDlqnvGzoIQ,Cocktail Bars,cocktailbars
yelp,kl8nZOIEifhrbVP-6GG5uQ,Coffee & Tea,coffee
yelp,kl8nZOIEifhrbVP-6GG5uQ,Acai Bowls,acaibowls
yelp,kl8nZOIEifhrbVP-6GG5uQ,Sandwiches,sandwiches
yelp,NQp9tJxgoOuyRQGdgr3BRA,Cafes,cafes
yelp,NQp9tJxgoOuyRQGdgr3BRA,Coffee & Tea,coffee
yelp,EN0BxgIktRfXpECqKXgczw,Hawaiian,hawaiian
yelp,EN0BxgIktRfXpECqKXgczw,Poke,poke
yelp,EN0BxgIktRfXpECqKXgczw,Salad,salad
yelp,Q2_nlXuhXfBhvkOo1Qiaow,Fast Food,hotdogs
yelp,Q2_nlXuhXfBhvkOo1Qiaow,Asian Fusion,asianfusion
yelp,5xCfAa3mPxWQQurvAURKJA,New American,newamerican
yelp,ALisPhj-3qsUzk9jD6Rh9A,New American,newamerican
yelp,ALisPhj-3qsUzk9jD6Rh9A,Food Stands,foodstands
yelp,ALisPhj-3qsUzk9jD6Rh9A,Food Trucks,foodtrucks
yelp,HP6usCWbGeIKd8xdK4KerQ,Pizza,pizza
yelp,rirAl4R82iP1UoOBDJSD7Q,Tex-Mex,tex-mex
yelp,rirAl4R82iP1UoOBDJSD7Q,Mexican,mexican
yelp,2yiqy-J6ESBZTvTU-qg6Jg,Mexican,mexican
yelp,Fj96bOf2iYTjmteDPeNcwA,Japanese,japanese
yelp,Fj96bOf2iYTjmteDPeNcwA,Sushi Bars,sushi
yelp,Fj96bOf2iYTjmteDPeNcwA,Seafood,seafood
yelp,12CqiOV1GVOO_OknEgUJ9A,Halal,halal
yelp,12CqiOV1GVOO_OknEgUJ9A,Delis,delis
yelp,12CqiOV1GVOO_OknEgUJ9A,Mediterranean,mediterranean
yelp,fUT3wQ1uwkUqQOqxYeWPxg,Bubble Tea,bubbletea
yelp,fUT3wQ1uwkUqQOqxYeWPxg,Cafes,cafes
yelp,fUT3wQ1uwkUqQOqxYeWPxg,Desserts,desserts
yelp,wk6GQbFTJ-6r_wqno9uiag,Vietnamese,vietnamese
yelp,wk6GQbFTJ-6r_wqno9uiag,Asian Fusion,asianfusion
yelp,532xMg8lsM36j4JwmAQubA,Diners,diners
yelp,532xMg8lsM36j4JwmAQubA,Breakfast & Brunch,breakfast_brunch
yelp,cQqDl2LsQw_JpbC-cu3KvA,Indian,indpak
yelp,cQqDl2LsQw_JpbC-cu3KvA,Buffets,buffets
yelp,cQqDl2LsQw_JpbC-cu3KvA,Seafood,seafood
yelp,36dd_FrCgkgd4gBem8CI3Q,Chicken Wings,chicken_wings
yelp,RlBx_YEnsFYnwJ7_S9VG3A,Food Trucks,foodtrucks
yelp,RlBx_YEnsFYnwJ7_S9VG3A,Mexican,mexican
yelp,hWRlOOzFvUpGGgcsld6RrQ,Cheesesteaks,cheesesteaks
yelp,hWRlOOzFvUpGGgcsld6RrQ,Desserts,desserts
yelp,7kiwG4kTapcD-8aGW87iKA,American,tradamerican
yelp,7kiwG4kTapcD-8aGW87iKA,Breakfast & Brunch,breakfast_brunch
yelp,7kiwG4kTapcD-8aGW87iKA,Wine Bars,wine_bars
yelp,u8323fYN3b4ZJXOILZx54Q,Meat Shops,meats
yelp,u8323fYN3b4ZJXOILZx54Q,Delis,delis
yelp,u8323fYN3b4ZJXOILZx54Q,Sandwiches,sandwiches
yelp,0ylNWojL5QsRRpQsJ2bapA,Japanese,japanese
yelp,6uVGsdLl3OwKmZYK0fL8dQ,Mediterranean,mediterranean
yelp,6uVGsdLl3OwKmZYK0fL8dQ,Breakfast & Brunch,breakfast_brunch
yelp,6uVGsdLl3OwKmZYK0fL8dQ,Sandwiches,sandwiches
yelp,DOYf0mdhAJjZHYfLQPDoCQ,Seafood,seafood
yelp,DOYf0mdhAJjZHYfLQPDoCQ,Fish & Chips,fishnchips
yelp,DOYf0mdhAJjZHYfLQPDoCQ,Burgers,burgers
yelp,O8_uEW7j8FO61ofF1KgR5Q,Mediterranean,mediterranean
yelp,O8_uEW7j8FO61ofF1KgR5Q,Lebanese,lebanese
yelp,PlUIgHH2yHX7rxmNQPLz4A,Ramen,ramen
yelp,PlUIgHH2yHX7rxmNQPLz4A,Tapas/Small Plates,tapasmallplates
yelp,PlUIgHH2yHX7rxmNQPLz4A,Cocktail Bars,cocktailbars
yelp,f21a6esKPqzgup8k43XLkA,Mexican,mexican
yelp,_JlTf8X3R1v3igOYthZdkQ,Wine Bars,wine_bars
yelp,_JlTf8X3R1v3igOYthZdkQ,Wine Tasting Room,winetastingroom
yelp,_JlTf8X3R1v3igOYthZdkQ,New American,newamerican
yelp,ih9bq5NrjGJul8T4ktmCng,Noodles,noodles
yelp,3mVlWmARhgPDoOqKtdBuUA,Thai,thai
yelp,3mVlWmARhgPDoOqKtdBuUA,Asian Fusion,asianfusion
yelp,3mVlWmARhgPDoOqKtdBuUA,Seafood,seafood
yelp,tR8rTk10oYroLjP6yn_7ww,Pizza,pizza
yelp,ZN0yWM9ThxeMpFF-J2y5Uw,Coffee & Tea,coffee
yelp,ZN0yWM9ThxeMpFF-J2y5Uw,"Beer, Wine & Spirits",beer_and_wine
yelp,ZN0yWM9ThxeMpFF-J2y5Uw,Sandwiches,sandwiches
yelp,GFVxe4gtWZwlILWp1qPTLg,Pizza,pizza
yelp,GFVxe4gtWZwlILWp1qPTLg,Bars,bars
yelp,dLcUez09N8fH0IuZGQfdjQ,Grocery,grocery
yelp,dLcUez09N8fH0IuZGQfdjQ,Filipino,filipino
yelp,DeJFMIbD7YVF5MwzAfbnWQ,Donuts,donuts
yelp,DeJFMIbD7YVF5MwzAfbnWQ,Bubble Tea,bubbletea
yelp,DeJFMIbD7YVF5MwzAfbnWQ,Korean,korean
yelp,9X28_JRy7rnqOsfGcjwz8w,Bars,bars
yelp,9X28_JRy7rnqOsfGcjwz8w,Mexican,mexican
yelp,Gev9pvuI2imwWnU00SyQ_w,Bagels,bagels
yelp,Gev9pvuI2imwWnU00SyQ_w,Pizza,pizza
yelp,Gev9pvuI2imwWnU00SyQ_w,Delis,delis
yelp,SVj6Iy_95vNTIHJjXmFEaQ,Tacos,tacos
yelp,hPpb_Cgc7WPea9HO_Jj--g,Korean,korean
yelp,kF2P7nTYvbmEijtLvXCeQA,Mediterranean,mediterranean
yelp,kF2P7nTYvbmEijtLvXCeQA,Salad,salad
yelp,S23KE0ZK4vcHHsVuZpVRFg,Juice Bars & Smoothies,juicebars
yelp,S23KE0ZK4vcHHsVuZpVRFg,Acai Bowls,acaibowls
yelp,S23KE0ZK4vcHHsVuZpVRFg,Wraps,wraps
yelp,DeqeZjU9NgybUuILO94XVQ,Caribbean,caribbean
yelp,DeqeZjU9NgybUuILO94XVQ,Bars,bars
yelp,P2rmZJuOsYEDLxyF0tdHUA,Bubble Tea,bubbletea
yelp,P2rmZJuOsYEDLxyF0tdHUA,Cafes,cafes
yelp,P2rmZJuOsYEDLxyF0tdHUA,Desserts,desserts
yelp,GTVOlps3_pCc9urmGc02Qg,New American,newamerican
yelp,GTVOlps3_pCc9urmGc02Qg,Gluten-Free,gluten_free
yelp,GTVOlps3_pCc9urmGc02Qg,Vegetarian,vegetarian
yelp,OZq6qi1PbUKYL3lnPH4JCg,Coffee & Tea,coffee
yelp,OZq6qi1PbUKYL3lnPH4JCg,Gelato,gelato
yelp,OZq6qi1PbUKYL3lnPH4JCg,Breakfast & Brunch,breakfast_brunch
yelp,wUfpCPXpwVz8q4NP3FEpvQ,American,tradamerican
yelp,wUfpCPXpwVz8q4NP3FEpvQ,Breakfast & Brunch,breakfast_brunch
yelp,wUfpCPXpwVz8q4NP3FEpvQ,Diners,diners
yelp,rhJnFEe4e92tRTnhUq8HoA,Food Trucks,foodtrucks
yelp,rhJnFEe4e92tRTnhUq8HoA,Comfort Food,comfortfood
yelp,JknOiCoRXg0ETfit7HPu7Q,Venezuelan,venezuelan
yelp,JknOiCoRXg0ETfit7HPu7Q,Empanadas,empanadas
yelp,JknOiCoRXg0ETfit7HPu7Q,Burgers,burgers
yelp,9IGlPsP7UINgt0wDCtJk9g,Cafes,cafes
yelp,RaF7ltqIfkQ-vqct7sZNeg,Tacos,tacos
yelp,JwlwrKulgSWPy4VPPTGyUA,Caribbean,caribbean
yelp,JwlwrKulgSWPy4VPPTGyUA,Seafood,seafood
yelp,JwlwrKulgSWPy4VPPTGyUA,Food Trucks,foodtrucks
yelp,hATzdBHZ5z-lobaxlTsbVQ,Fast Food,hotdogs
yelp,hATzdBHZ5z-lobaxlTsbVQ,Chicken Shop,chickenshop
yelp,hATzdBHZ5z-lobaxlTsbVQ,Chicken Wings,chicken_wings
yelp,-FA84VJIyH2pguzNbZuBPw,Coffee & Tea,coffee
yelp,-FA84VJIyH2pguzNbZuBPw,Bakeries,bakeries
yelp,-FA84VJIyH2pguzNbZuBPw,Breakfast & Brunch,breakfast_brunch
yelp,GsYDuDZtNoxXJral_j2Sfg,Indian,indpak
yelp,GsYDuDZtNoxXJral_j2Sfg,Thai,thai
yelp,GsYDuDZtNoxXJral_j2Sfg,Chinese,chinese
yelp,d_iZzYJ0ujaMDlcs1jBZTA,Greek,greek
yelp,d_iZzYJ0ujaMDlcs1jBZTA,Falafel,falafel
yelp,NCcUQ-SBPTGSp1oFRHoRvA,Mexican,mexican
yelp,NCcUQ-SBPTGSp1oFRHoRvA,Seafood,seafood
yelp,NCcUQ-SBPTGSp1oFRHoRvA,Breakfast & Brunch,breakfast_brunch
yelp,l7rjq2NX8wwSzoZrNWZq1A,Salad,salad
yelp,l7rjq2NX8wwSzoZrNWZq1A,Juice Bars & Smoothies,juicebars
yelp,l7rjq2NX8wwSzoZrNWZq1A,Sandwiches,sandwiches
yelp,5MjZHHTsPqMspOCGkFSJlw,Italian,italian
yelp,5MjZHHTsPqMspOCGkFSJlw,Pizza,pizza
yelp,gPv4imFDDmUZdZI6V7A8fA,Coffee & Tea,coffee
yelp,gPv4imFDDmUZdZI6V7A8fA,Juice Bars & Smoothies,juicebars
yelp,gPv4imFDDmUZdZI6V7A8fA,Sandwiches,sandwiches
yelp,A1VeLdTlPeY40-_68bcXUw,Pubs,pubs
yelp,A1VeLdTlPeY40-_68bcXUw,Chicken Wings,chicken_wings
